,idx,Q_num,word,corrected
0,2,12_Q24,embarassed,embarrassed
1,3,12_Q24,sheepiah,sheepish
2,3,46_Q24,driwd,dried
3,3,50_Q24,whitw,white
4,3,114_Q24,wanred,wanted
5,6,110_Q24,forevee,forever
6,6,213_Q24,didnt,didn't
7,7,163_Q24,punnet,planet
8,8,57_Q24,bunter,butter
9,8,196_Q24,pandy,candy
10,11,28_Q24,baloon,balloon
11,11,100_Q24,fleed,feed
12,11,142_Q24,blsck,black
13,12,81_Q24,thinj,think
14,13,15_Q24,arived,arrived
15,13,171_Q24,chocoloate,chocolate
16,14,12_Q24,embarassed,embarrassed
17,16,13_Q24,,i
18,16,49_Q24,,i
19,16,53_Q24,,i
20,16,86_Q24,,i
21,16,106_Q24,,i
22,16,146_Q24,forehad,forehead
23,16,173_Q24,,i
24,16,195_Q24,forgotton,forgotten
25,16,199_Q24,,i
26,17,109_Q24,hus,his
27,20,186_Q24,intentioned,intention
28,20,195_Q24,alot,lot
29,22,18_Q24,doesnt,doesn't
30,22,25_Q24,inbetween,between
31,22,114_Q24,didnt,didn't
32,22,120_Q24,vengence,vengeance
33,22,144_Q24,unresonable,unreasonable
34,22,147_Q24,shiney,shine
35,22,169_Q24,bestfriend,befriend
36,22,182_Q24,permantly,permanently
37,22,208_Q24,ponys,pony
38,24,90_Q24,grimaced,grimace
39,25,126_Q24,feinted,fainted
40,26,31_Q24,wasnt,want
41,26,111_Q24,awat,away
42,26,142_Q24,blafk,black
43,26,163_Q24,xry,try
44,26,171_Q24,courtsey,courtesy
45,26,185_Q24,,i
46,27,66_Q24,immediatley,immediately
47,27,111_Q24,awau,away
48,27,135_Q24,tallking,talking
49,27,150_Q24,csr,car
50,28,37_Q24,longrun,longue
51,28,42_Q24,samg,same
52,28,86_Q24,quitly,quietly
53,29,13_Q24,narnia,narnian
54,29,57_Q24,eilish,finish
55,29,170_Q24,saville,savile
56,29,195_Q24,,i
57,30,31_Q24,wasnt,want
58,30,186_Q24,intentioned,intention
59,32,23_Q24,didnt,didn't
60,32,88_Q24,wasnt,want
61,32,114_Q24,didnt,didn't
62,32,124_Q24,didnt,didn't
63,32,138_Q24,,i
64,32,144_Q24,unreaonsable,unreasonable
65,32,161_Q24,didnt,didn't
66,32,186_Q24,intentioned,intention
67,33,14_Q24,didnt,didn't
68,33,23_Q24,wasnt,want
69,33,84_Q24,wasnt,want
70,33,129_Q24,doesnt,doesn't
71,33,170_Q24,wasnt,want
72,33,189_Q24,pensively,pensive
73,33,203_Q24,isnt,isn't
74,35,52_Q24,hopjng,hoping
75,35,84_Q24,didnt,didn't
76,36,186_Q24,intentioned,intention
77,40,114_Q24,didnt,didn't
78,42,196_Q24,pandy,candy
79,43,99_Q24,grumpily,grumpy
80,44,14_Q24,wasnt,want
81,44,29_Q24,therfor,herfor
82,44,85_Q24,tge,the
83,44,116_Q24,feguson,ferguson
84,44,137_Q24,wobbler,cobbler
85,44,213_Q24,proably,probably
86,45,116_Q24,grimaced,grimace
87,46,88_Q24,didnt,didn't
88,46,130_Q24,thr,the
89,47,129_Q24,didnt,didn't
90,48,20_Q24,awat,away
91,48,35_Q24,awag,away
92,49,5_Q24,,i
93,51,5_Q24,rickman,rican
94,51,15_Q24,vried,tried
95,52,29_Q24,alot,lot
96,52,36_Q24,bix,big
97,52,94_Q24,hesd,head
98,52,130_Q24,maisie,raise
99,53,186_Q24,intentioned,intention
100,54,31_Q24,didnt,didn't
101,54,75_Q24,stridently,strident
102,55,78_Q24,,i
103,55,87_Q24,,i
104,55,94_Q24,nan,can
105,55,176_Q24,nan,can
106,56,63_Q24,didnt,didn't
107,56,93_Q24,sluggishly,sluggish
108,57,116_Q24,sniggered,triggered
109,57,159_Q24,you're,you've
110,58,73_Q24,doesnt,doesn't
111,58,84_Q24,didnt,didn't
112,59,25_Q24,pocession,procession
113,59,151_Q24,charnting,chanting
114,60,44_Q24,mrs,mars
115,60,121_Q24,gruffalo,buffalo
116,60,208_Q24,gyming,gaming
117,61,23_Q24,didnt,didn't
118,61,36_Q24,brack,back
119,61,83_Q24,apon,upon
120,61,189_Q24,scowled,showed
121,63,137_Q24,wobbler,cobbler
122,64,152_Q24,,i
123,64,186_Q24,desserved,deserved
124,66,36_Q24,knive,knife
125,66,114_Q24,didnt,didn't
126,66,116_Q24,westwood,westward
127,66,146_Q24,forhead,forehead
128,67,69_Q24,intetesting,interesting
129,67,153_Q24,waitef,waited
130,70,18_Q24,shounted,shouted
131,70,23_Q24,shounted,shouted
132,70,114_Q24,shounted,shouted
133,70,116_Q24,shounted,shouted
134,70,170_Q24,shounted,shouted
135,70,186_Q24,intentioned,intention
136,74,1_Q24,w,i
137,74,7_Q24,w,i
138,74,9_Q24,"window,",window
139,74,11_Q24,w,i
140,74,26_Q24,s,i
141,74,27_Q24,c,i
142,74,29_Q24,s,i
143,74,31_Q24,wasnt,want
144,74,38_Q24,c,i
145,74,42_Q24,w,i
146,74,45_Q24,c,i
147,74,46_Q24,s,i
148,74,52_Q24,s,i
149,74,58_Q24,w,i
150,74,66_Q24,s,i
151,74,76_Q24,s,i
152,74,77_Q24,suger,super
153,74,78_Q24,x,i
154,74,83_Q24,c,i
155,74,88_Q24,w,i
156,74,102_Q24,,i
157,74,114_Q24,c,i
158,74,119_Q24,yipee,yippee
159,74,120_Q24,x,i
160,74,125_Q24,w,i
161,74,139_Q24,w,i
162,74,142_Q24,c,i
163,74,153_Q24,s,i
164,74,155_Q24,s,i
165,74,169_Q24,"idol,",idol
166,74,179_Q24,s,i
167,74,185_Q24,trired,tried
168,74,189_Q24,s,i
169,74,190_Q24,w,i
170,74,192_Q24,s,i
171,74,195_Q24,w,i
172,74,196_Q24,wasnt,want
173,74,202_Q24,sik,sit
174,74,205_Q24,w,i
175,74,212_Q24,c,i
176,75,41_Q24,chickien,chicken
177,75,145_Q24,,i
178,77,130_Q24,mollie,collie
179,77,134_Q24,where?,where
180,77,142_Q24,thining,thinking
181,77,186_Q24,derserved,deserved
182,77,206_Q24,thete,there
183,78,157_Q24,interruped,interrupted
184,78,186_Q24,intentioned,intention
185,78,203_Q24,groned,ironed
186,79,89_Q24,corrider,corridor
187,80,117_Q24,longly,lonely
