sentence,word,word2,sent_id,item_id,list,rating_mean,rating_sd,cloze_p_smoothed,cloze_s,competition,entropy
Arthur placed,the,THE,96,577,1,4.770491803278689,0.5595665770025587,0.1595744680851064,1.8352445811677938,-0.32978723404255317,1.8252482198364877
Finally Maria sat down with a,cup,CUP,152,1093,1,3.80327868852459,1.0298814192444283,0.17699115044247787,1.7316555451583495,0.08849557522123894,3.1711009192945223
He smiled again and felt like a,man,MAN,183,1440,1,3.098360655737705,1.1790521338881625,0.06086956521739131,2.7990219793079367,-0.05217391304347826,3.371840296640132
She wound up,talking,TALKING,142,988,1,3.2950819672131146,1.2294207619184188,0.016260162601626018,4.119037174812472,-0.1056910569105691,3.54708551450646
"Good God, if you are","watching,","WATCHING,",86,500,1,3.80327868852459,0.9969900054856374,0.008064516129032258,4.820281565605037,-0.06451612903225806,3.660159699026764
The truck was an older,version,VERSION,174,1334,1,4.147540983606557,0.980409193037453,0.1276595744680851,2.0583881324820035,-0.43617021276595747,1.6898595697451955
Emma put her mug of,tea,TEA,178,1378,1,4.573770491803279,0.7406982380034535,0.45555555555555555,0.7862376036259573,0.09999999999999998,1.4217769232673005
Dexter opened his letter and found a,photograph,PHOTOGRAPH,104,646,1,3.7704918032786887,0.9200261341025557,0.007751937984496124,4.859812404361672,-0.09302325581395349,3.742823702554118
In the morning at breakfast,Mike,MIKE,162,1202,1,2.459016393442623,1.3111543322813333,0.010309278350515464,4.574710978503383,-0.1443298969072165,2.4507188735150955
He was,already,ALREADY,202,1672,1,3.9344262295081966,0.9104733651424844,0.007518796992481203,4.890349128221754,-0.03759398496240601,3.8901669161924923
She hid the,boxes,BOXES,53,270,1,3.442622950819672,1.147818077396333,0.007633587786259542,4.875197323201151,-0.07633587786259542,3.8077277421968945
There will be men to kill either,way.,WAY,81,464,1,3.5901639344262297,1.2958529903803115,0.1941747572815534,1.6389967146756448,0.01941747572815533,2.6920697207064777
Billy knocked on the door and waited till he was told,to,TO,189,1516,1,4.475409836065574,0.697771628759467,0.6494845360824743,0.4315762521118501,0.6082474226804124,1.6068725375991653
The shout caught him,off,OFF,193,1557,1,4.557377049180328,0.6461318277238897,0.3684210526315789,0.9985288301111271,0.21052631578947367,2.1541344859771066
I dont want to hear,it.,IT,23,103,1,4.622950819672131,0.6871180011766419,0.2978723404255319,1.2110902720948,0.1382978723404255,2.1928541022571406
Anne lost control,and,AND,1,3,1,4.0,0.9309493362512627,0.052083333333333336,2.9549102790337356,-0.5416666666666666,1.7397460892024452
He drank too much at times,and,AND,154,1115,1,4.016393442622951,0.9035449311589053,0.26851851851851855,1.3148353971377456,0.13888888888888892,2.8493442114967173
Looks like a,walk,WALK,41,198,1,1.819672131147541,1.0409642440434972,0.007462686567164179,4.897839799950911,-0.0746268656716418,3.8894265175054157
One by one she placed her teeth about their,necks,NECKS,192,1550,1,1.9180327868852458,1.1298242041310838,0.21666666666666667,1.529395204760564,0.15833333333333333,3.32961698416632
Roger,smiled,SMILED,8,29,1,3.360655737704918,1.0650944697575875,0.008130081300813009,4.812184355372417,-0.08130081300813008,3.5863914936073775
Youre,getting,GETTING,58,298,1,3.540983606557377,1.1191331540051175,0.008264462809917356,4.795790545596741,-0.08264462809917356,3.5310553262002182
The campaign will pay for,itself.,ITSELF,30,138,1,4.163934426229508,0.9691977415858346,0.04504504504504504,3.100092288878234,-0.13513513513513514,3.097642020624453
He held his mother,tight,TIGHT,133,899,1,4.032786885245901,0.99945340252817,0.20408163265306123,1.5892352051165808,-0.010204081632653045,2.3544338632271247
Dont die of cold,before,BEFORE,85,491,1,2.7540983606557377,1.1497208024112933,0.017094017094017096,4.069026754237811,-0.1111111111111111,3.39701221592949
Bruce is looking for someone to take the,spare,SPARE,179,1393,1,2.5245901639344264,1.0584037883695299,0.008064516129032258,4.820281565605037,-0.10483870967741934,3.565565073189378
I shall have a victory and,I,I,160,1181,1,3.6557377049180326,1.046983697766101,0.008333333333333333,4.787491742782046,-0.08333333333333333,3.486304238830605
Charles,felt,FELT,101,616,1,3.6557377049180326,1.1384967559848285,0.01652892561983471,4.102643365036796,-0.12396694214876033,3.493850625138614
He sat his son up on the table,and,AND,195,1586,1,4.245901639344262,0.7671535636128756,0.53125,0.6325225587435105,0.4270833333333333,1.8573243668433466
He sighed and walked back,to,TO,91,540,1,4.573770491803279,0.6180349610780559,0.3645833333333333,1.0090001299784226,0.12499999999999997,2.067346895807521
He held his mother tight and she cried into,his,HIS,133,904,1,4.39344262295082,0.713645302294031,0.7011494252873564,0.35503425448127246,0.5977011494252874,1.0753394262592337
He drank too,much,MUCH,154,1112,1,4.737704918032787,0.6028167036024106,0.8202247191011236,0.19817692858374872,0.7865168539325843,0.8390055580854406
